log_id,employee_id,base,crew_type,month,total_duty_hrs,monthly_hour_cap,utilization_pct,n_pairings_flown,rest_violations,max_consecutive_days,redye_pairing_pct,fatigue_risk_score,called_out
90123,10027,ORD,Flight Attendant,2024-03,94.5,90,105.0,20,1,4,12.6,68.1,False
90124,10027,ORD,Flight Attendant,2024-04,94.5,90,105.0,19,0,5,13.6,56.8,False
90125,10027,ORD,Flight Attendant,2024-05,73.4,90,81.6,13,0,6,9.4,45.4,False
90126,10027,ORD,Flight Attendant,2024-06,69.6,90,77.3,12,0,4,20.5,41.8,False
90127,10028,ORD,Flight Attendant,2024-01,63.8,90,70.9,12,0,7,22.5,41.1,False
90128,10028,ORD,Flight Attendant,2024-02,89.9,90,99.9,19,0,6,1.4,50.8,False
90129,10028,ORD,Flight Attendant,2024-03,44.4,90,49.3,11,0,7,23.8,30.7,False
90130,10028,ORD,Flight Attendant,2024-04,94.5,90,105.0,21,2,4,20.5,86.1,False
90131,10028,ORD,Flight Attendant,2024-05,93.7,90,104.1,21,2,4,7.3,80.8,True
90132,10028,ORD,Flight Attendant,2024-06,75.8,90,84.2,12,0,6,22.2,42.1,False
90133,10029,ORD,First Officer,2024-01,62.8,100,62.8,17,0,6,18.0,37.1,False
90134,10029,ORD,First Officer,2024-02,30.6,100,30.6,8,0,6,11.7,21.0,False
90135,10029,ORD,First Officer,2024-03,29.5,100,29.5,8,0,4,22.6,20.2,False
90136,10029,ORD,First Officer,2024-04,69.3,100,69.3,11,0,5,1.1,33.5,False
90137,10029,ORD,First Officer,2024-05,68.1,100,68.1,18,0,6,9.4,37.3,False
90138,10029,ORD,First Officer,2024-06,105.0,100,105.0,19,1,3,19.4,67.4,True
90139,10030,ORD,Senior FA,2024-01,50.2,90,55.8,11,0,7,23.5,33.3,False
90140,10030,ORD,Senior FA,2024-02,82.4,90,91.6,20,1,6,21.4,61.4,False
90141,10030,ORD,Senior FA,2024-03,80.4,90,89.3,16,1,5,23.8,59.2,True
90142,10030,ORD,Senior FA,2024-04,42.1,90,46.8,11,0,7,10.4,27.5,False
90143,10030,ORD,Senior FA,2024-05,94.5,90,105.0,16,1,6,20.7,69.7,True
90144,10030,ORD,Senior FA,2024-06,59.4,90,66.0,12,0,4,10.8,37.0,True
90145,10031,ORD,Flight Attendant,2024-01,80.8,90,89.8,12,1,4,9.7,56.8,False
90146,10031,ORD,Flight Attendant,2024-02,94.5,90,105.0,22,2,6,15.5,86.4,False
90147,10031,ORD,Flight Attendant,2024-03,75.1,90,83.4,11,0,6,14.6,43.0,True
90148,10031,ORD,Flight Attendant,2024-04,74.9,90,83.2,18,0,5,24.1,50.8,False
90149,10031,ORD,Flight Attendant,2024-05,57.1,90,63.4,15,0,5,22.7,38.6,False
90150,10031,ORD,Flight Attendant,2024-06,89.2,90,99.1,18,1,4,17.9,63.9,True
90151,10032,ORD,Flight Attendant,2024-01,91.0,90,101.1,17,2,7,0.2,76.2,False
90152,10032,ORD,Flight Attendant,2024-02,94.5,90,105.0,20,1,7,7.1,65.9,False
90153,10032,ORD,Flight Attendant,2024-03,90.9,90,101.0,14,1,7,12.2,65.0,False
90154,10032,ORD,Flight Attendant,2024-04,94.5,90,105.0,20,1,5,11.4,65.6,False
90155,10032,ORD,Flight Attendant,2024-05,85.9,90,95.4,19,0,7,22.9,54.0,False
90156,10032,ORD,Flight Attendant,2024-06,94.5,90,105.0,18,1,7,21.9,75.2,False
90157,10033,ORD,Captain,2024-01,59.6,100,59.6,14,0,6,2.5,30.6,False
90158,10033,ORD,Captain,2024-02,60.3,100,60.3,15,0,5,3.2,29.5,False
90159,10033,ORD,Captain,2024-03,43.7,100,43.7,9,0,6,1.5,16.9,False
90160,10033,ORD,Captain,2024-04,94.2,100,94.2,16,2,6,15.3,73.0,False
90161,10033,ORD,Captain,2024-05,49.3,100,49.3,14,0,6,20.0,30.4,True
90162,10033,ORD,Captain,2024-06,87.8,100,87.8,13,1,4,0.8,58.5,False
90163,10034,ORD,First Officer,2024-01,39.2,100,39.2,9,0,6,6.1,23.3,True
90164,10034,ORD,First Officer,2024-02,57.2,100,57.2,13,0,4,15.6,35.2,False
90165,10034,ORD,First Officer,2024-03,33.9,100,33.9,9,0,4,9.5,20.5,False
90166,10034,ORD,First Officer,2024-04,105.0,100,105.0,17,0,4,11.3,45.6,True
90167,10034,ORD,First Officer,2024-05,41.2,100,41.2,8,0,5,7.1,20.5,False
90168,10034,ORD,First Officer,2024-06,85.8,100,85.8,15,2,3,3.8,65.6,False
90169,10035,ORD,First Officer,2024-01,70.2,100,70.2,11,0,3,3.4,32.8,False
90170,10035,ORD,First Officer,2024-02,64.5,100,64.5,13,0,6,13.3,32.6,False
90171,10035,ORD,First Officer,2024-03,105.0,100,105.0,19,0,4,19.7,54.8,False
90172,10035,ORD,First Officer,2024-04,65.3,100,65.3,18,0,3,10.4,41.5,False
90173,10035,ORD,First Officer,2024-05,84.1,100,84.1,16,0,4,1.8,36.5,False
90174,10035,ORD,First Officer,2024-06,97.4,100,97.4,15,2,3,21.3,79.0,False
90175,10036,ORD,Captain,2024-01,76.9,100,76.9,11,0,3,24.7,43.5,False
90176,10036,ORD,Captain,2024-02,105.0,100,105.0,19,2,5,17.3,81.7,True
90177,10036,ORD,Captain,2024-03,77.2,100,77.2,14,0,5,5.7,37.1,False
90178,10036,ORD,Captain,2024-04,40.4,100,40.4,11,0,6,24.3,26.3,False
90179,10036,ORD,Captain,2024-05,102.4,100,102.4,15,2,6,9.3,78.3,False
90180,10036,ORD,Captain,2024-06,61.5,100,61.5,17,0,4,16.0,39.2,False
90181,10037,ORD,Flight Attendant,2024-01,55.5,90,61.7,15,0,6,3.8,32.5,False
90182,10037,ORD,Flight Attendant,2024-02,69.6,90,77.3,13,0,7,16.8,45.9,True
90183,10037,ORD,Flight Attendant,2024-03,77.2,90,85.8,12,2,5,21.0,72.1,False
90184,10037,ORD,Flight Attendant,2024-04,59.2,90,65.8,12,0,6,3.3,36.7,False
90185,10037,ORD,Flight Attendant,2024-05,62.3,90,69.2,11,0,5,21.4,37.3,False
90186,10037,ORD,Flight Attendant,2024-06,56.1,90,62.3,15,0,5,16.0,35.5,False
90187,10038,ORD,Flight Attendant,2024-01,94.5,90,105.0,23,0,6,5.2,57.2,True
90188,10038,ORD,Flight Attendant,2024-02,94.5,90,105.0,19,2,5,6.5,75.4,True
90189,10038,ORD,Flight Attendant,2024-03,94.4,90,104.9,19,1,7,9.8,65.3,False
90190,10038,ORD,Flight Attendant,2024-04,94.5,90,105.0,21,0,5,10.6,58.3,False
90191,10038,ORD,Flight Attendant,2024-05,94.5,90,105.0,21,1,4,21.2,67.3,True
90192,10038,ORD,Flight Attendant,2024-06,63.4,90,70.4,12,0,4,15.3,36.0,False
90193,10039,ORD,Flight Attendant,2024-01,72.7,90,80.8,11,0,5,5.9,42.0,False
90194,10039,ORD,Flight Attendant,2024-02,94.5,90,105.0,23,1,6,18.6,73.2,True
90195,10039,ORD,Flight Attendant,2024-03,72.6,90,80.7,18,0,4,7.2,42.4,False
90196,10039,ORD,Flight Attendant,2024-04,40.5,90,45.0,10,0,6,4.6,28.7,False
90197,10039,ORD,Flight Attendant,2024-05,51.7,90,57.4,10,0,6,6.2,31.7,True
90198,10039,ORD,Flight Attendant,2024-06,94.5,90,105.0,20,2,7,18.2,81.6,True
90199,10040,ORD,Flight Attendant,2024-01,87.4,90,97.1,13,0,6,7.0,52.3,False
90200,10040,ORD,Flight Attendant,2024-02,53.7,90,59.7,10,0,7,3.3,32.4,True
90201,10040,ORD,Flight Attendant,2024-03,94.5,90,105.0,23,1,5,1.7,62.1,False
90202,10040,ORD,Flight Attendant,2024-04,94.5,90,105.0,19,1,4,15.9,72.9,False
90203,10040,ORD,Flight Attendant,2024-05,71.3,90,79.2,16,0,5,20.0,40.0,False
90204,10040,ORD,Flight Attendant,2024-06,63.9,90,71.0,16,0,6,8.3,41.2,False
90205,10041,ORD,Flight Attendant,2024-01,86.3,90,95.9,16,1,4,13.1,63.1,False
90206,10041,ORD,Flight Attendant,2024-02,94.5,90,105.0,17,1,5,9.4,73.7,False
90207,10041,ORD,Flight Attendant,2024-03,94.5,90,105.0,23,0,5,10.9,58.4,False
90208,10041,ORD,Flight Attendant,2024-04,94.5,90,105.0,20,2,5,17.1,81.6,True
90209,10041,ORD,Flight Attendant,2024-05,94.5,90,105.0,19,2,7,12.8,80.9,False
90210,10041,ORD,Flight Attendant,2024-06,94.5,90,105.0,23,2,4,19.7,85.8,False
90211,10042,ORD,Senior FA,2024-01,94.5,90,105.0,20,2,6,13.9,77.6,True
90212,10042,ORD,Senior FA,2024-02,86.7,90,96.3,13,1,7,3.1,67.0,True
90213,10042,ORD,Senior FA,2024-03,78.7,90,87.4,14,2,6,7.5,72.6,False
90214,10042,ORD,Senior FA,2024-04,81.8,90,90.9,13,2,4,13.1,70.8,False
90215,10042,ORD,Senior FA,2024-05,86.4,90,96.0,16,1,5,14.4,63.1,True
90216,10042,ORD,Senior FA,2024-06,70.5,90,78.3,18,0,7,4.1,36.3,False
90217,10043,ORD,First Officer,2024-01,105.0,100,105.0,19,0,3,14.6,54.8,False
90218,10043,ORD,First Officer,2024-02,88.2,100,88.2,14,1,5,15.4,61.1,False
90219,10043,ORD,First Officer,2024-03,93.6,100,93.6,15,0,5,12.8,53.5,False
90220,10043,ORD,First Officer,2024-04,105.0,100,105.0,18,1,4,2.8,62.8,False
90221,10043,ORD,First Officer,2024-05,56.6,100,56.6,16,0,5,10.1,30.7,False
90222,10043,ORD,First Officer,2024-06,84.2,100,84.2,13,0,6,15.0,44.5,True
90223,10044,ORD,Flight Attendant,2024-01,47.2,90,52.4,11,0,6,3.0,30.1,False
90224,10044,ORD,Flight Attendant,2024-02,94.5,90,105.0,23,1,7,15.6,69.7,False
90225,10044,ORD,Flight Attendant,2024-03,94.5,90,105.0,22,2,4,5.3,78.7,False
90226,10044,ORD,Flight Attendant,2024-04,59.1,90,65.7,16,0,6,24.4,41.6,True
90227,10044,ORD,Flight Attendant,2024-05,76.1,90,84.6,17,0,4,5.0,42.7,False
90228,10044,ORD,Flight Attendant,2024-06,94.5,90,105.0,22,0,6,5.2,58.1,True
90229,10045,ORD,First Officer,2024-01,53.5,100,53.5,10,0,6,5.3,27.1,False
90230,10045,ORD,First Officer,2024-02,105.0,100,105.0,18,2,5,22.4,85.6,True
90231,10045,ORD,First Officer,2024-03,66.3,100,66.3,14,0,4,11.3,38.4,True
90232,10045,ORD,First Officer,2024-04,44.9,100,44.9,10,0,3,6.9,24.1,False
90233,10045,ORD,First Officer,2024-05,45.4,100,45.4,12,0,3,1.0,22.2,False
90234,10045,ORD,First Officer,2024-06,73.1,100,73.1,18,0,6,15.5,41.5,True
90235,10047,ORD,Senior FA,2024-01,74.5,90,82.8,12,0,4,22.1,46.3,False
90236,10047,ORD,Senior FA,2024-02,45.5,90,50.6,12,0,6,15.4,25.0,True
90237,10047,ORD,Senior FA,2024-03,94.5,90,105.0,22,0,7,22.6,61.7,True
90238,10047,ORD,Senior FA,2024-04,94.5,90,105.0,21,0,5,5.7,49.7,False
90239,10047,ORD,Senior FA,2024-05,94.5,90,105.0,15,0,5,24.9,58.3,True
90240,10047,ORD,Senior FA,2024-06,42.8,90,47.6,10,0,6,0.1,26.9,False
90241,10048,ORD,First Officer,2024-01,42.2,100,42.2,8,0,6,13.5,22.3,True
90242,10048,ORD,First Officer,2024-02,104.1,100,104.1,16,0,3,1.2,49.3,False
90243,10048,ORD,First Officer,2024-03,58.2,100,58.2,15,0,3,19.1,38.1,False
90244,10048,ORD,First Officer,2024-04,63.9,100,63.9,18,0,5,20.1,39.0,False
90245,10048,ORD,First Officer,2024-05,71.6,100,71.6,18,0,5,1.4,29.2,False
90246,10048,ORD,First Officer,2024-06,58.7,100,58.7,16,0,4,0.6,31.5,True
90247,10049,ORD,Senior FA,2024-01,59.0,90,65.6,14,0,5,6.8,31.8,True
90248,10049,ORD,Senior FA,2024-02,94.5,90,105.0,16,0,4,12.1,60.9,False
90249,10049,ORD,Senior FA,2024-03,67.4,90,74.9,10,0,4,19.3,48.1,False
90250,10049,ORD,Senior FA,2024-04,60.3,90,67.0,12,0,4,8.5,37.0,True
90251,10049,ORD,Senior FA,2024-05,94.5,90,105.0,23,1,6,24.4,73.2,True
90252,10049,ORD,Senior FA,2024-06,94.5,90,105.0,17,2,5,2.2,74.3,True
90253,10050,ORD,Flight Attendant,2024-01,94.5,90,105.0,17,0,5,13.7,57.2,False
90254,10050,ORD,Flight Attendant,2024-02,56.1,90,62.3,13,0,5,17.1,34.9,True
90255,10050,ORD,Flight Attendant,2024-03,83.5,90,92.8,13,1,4,13.1,66.8,False
90256,10050,ORD,Flight Attendant,2024-04,79.6,90,88.4,12,2,4,21.4,77.8,False
90257,10050,ORD,Flight Attendant,2024-05,90.4,90,100.4,14,0,5,16.4,48.0,False
90258,10050,ORD,Flight Attendant,2024-06,94.5,90,105.0,22,0,6,4.2,55.2,False
90259,10051,ORD,Flight Attendant,2024-01,54.7,90,60.8,11,0,4,18.6,32.0,False
90260,10051,ORD,Flight Attendant,2024-02,82.7,90,91.9,21,0,6,2.6,48.2,False
90261,10051,ORD,Flight Attendant,2024-03,50.0,90,55.6,10,0,4,19.7,35.2,True
90262,10051,ORD,Flight Attendant,2024-04,94.5,90,105.0,18,0,7,2.7,53.7,False
90263,10051,ORD,Flight Attendant,2024-05,72.5,90,80.6,11,0,4,19.1,38.3,False
90264,10051,ORD,Flight Attendant,2024-06,51.4,90,57.1,14,0,6,21.9,34.2,False
90265,10052,ORD,First Officer,2024-01,105.0,100,105.0,18,2,4,12.6,81.9,False
90266,10052,ORD,First Officer,2024-02,59.4,100,59.4,16,0,3,14.7,32.9,True
90267,10052,ORD,First Officer,2024-03,73.6,100,73.6,14,0,6,14.2,41.9,False
90268,10052,ORD,First Officer,2024-04,85.2,100,85.2,15,0,6,17.8,45.3,False
90269,10052,ORD,First Officer,2024-05,80.1,100,80.1,16,0,6,1.5,34.6,False
90270,10052,ORD,First Officer,2024-06,82.1,100,82.1,18,0,3,1.4,40.9,False
90271,10053,ORD,Senior FA,2024-01,94.5,90,105.0,22,2,4,15.1,77.2,True
90272,10053,ORD,Senior FA,2024-02,52.3,90,58.1,10,0,4,13.9,36.3,False
90273,10053,ORD,Senior FA,2024-03,57.6,90,64.0,14,0,5,19.2,34.0,False
90274,10053,ORD,Senior FA,2024-04,81.4,90,90.4,15,0,7,22.4,47.9,True
90275,10053,ORD,Senior FA,2024-05,79.4,90,88.2,20,2,4,22.4,72.0,True
90276,10053,ORD,Senior FA,2024-06,74.8,90,83.1,11,0,7,13.7,47.6,False
90277,10054,ORD,Flight Attendant,2024-01,65.3,90,72.6,16,0,5,7.1,37.2,True
90278,10054,ORD,Flight Attendant,2024-02,94.5,90,105.0,22,2,4,0.2,77.2,True
90279,10054,ORD,Flight Attendant,2024-03,73.3,90,81.4,15,0,4,2.6,47.0,False
90280,10054,ORD,Flight Attendant,2024-04,94.5,90,105.0,23,1,6,2.0,62.1,True
90281,10054,ORD,Flight Attendant,2024-05,40.1,90,44.6,11,0,5,10.1,24.8,False
90282,10054,ORD,Flight Attendant,2024-06,68.5,90,76.1,13,0,7,17.2,39.7,True
90283,10055,ORD,Flight Attendant,2024-01,90.5,90,100.6,14,1,5,21.8,70.3,True
90284,10055,ORD,Flight Attendant,2024-02,82.5,90,91.7,16,1,5,17.6,62.9,False
90285,10055,ORD,Flight Attendant,2024-03,68.9,90,76.6,18,0,6,20.4,40.7,False
90286,10055,ORD,Flight Attendant,2024-04,62.4,90,69.3,13,0,5,15.8,40.6,True
90287,10055,ORD,Flight Attendant,2024-05,55.3,90,61.4,13,0,6,2.9,30.9,True
90288,10055,ORD,Flight Attendant,2024-06,94.5,90,105.0,23,2,5,8.3,84.2,True
90289,10056,ORD,Flight Attendant,2024-01,80.5,90,89.4,23,1,5,10.6,61.3,False
90290,10056,ORD,Flight Attendant,2024-02,51.1,90,56.8,10,0,4,11.8,29.4,True
90291,10056,ORD,Flight Attendant,2024-03,60.3,90,67.0,11,0,5,12.2,40.7,True
