pairing_id,departure_date,departure_time,arrival_time,origin,destination,aircraft_type,flight_duration_hrs,pairing_type,pilots_required,fas_required,assigned_pilot_id,assigned_fa_id,is_deadhead,base
50020,2024-04-24,2024-04-24 12:15,2024-04-24 16:32,ORD,CLE,A320,4.3,Multi-day,2,2,10048,10031,False,ORD
50021,2024-06-08,2024-06-08 12:30,2024-06-08 17:05,LAX,SMF,A321,4.58,Red-eye,2,3,10436,10365,False,LAX
50022,2024-05-28,2024-05-28 09:00,2024-05-28 10:21,ORD,MKE,A320,1.36,Turn,2,2,10065,10060,False,ORD
50023,2024-04-16,2024-04-16 09:30,2024-04-16 14:42,LAX,PHX,B737,5.21,Multi-day,2,2,10432,10405,False,LAX
50024,2024-05-27,2024-05-27 09:15,2024-05-27 13:39,LAX,SJC,B757,4.41,Multi-day,2,3,10370,10373,True,LAX
50025,2024-06-13,2024-06-13 09:00,2024-06-13 10:24,ORD,PIT,B767,1.4,Overnight,2,4,10043,10106,False,ORD
50026,2024-04-08,2024-04-08 16:15,2024-04-08 20:50,DFW,LBB,A321,4.6,Turn,2,3,10277,10317,False,DFW
50027,2024-03-06,2024-03-06 11:00,2024-03-06 16:18,ATL,MCO,A320,5.31,Overnight,2,2,10205,10179,False,ATL
50028,2024-01-03,2024-01-03 12:00,2024-01-03 14:37,ATL,BNA,B737,2.62,Multi-day,2,2,10212,10194,False,ATL
50029,2024-05-25,2024-05-25 15:45,2024-05-25 19:10,JFK,ROC,A320,3.42,Red-eye,2,2,10475,10453,True,JFK
50030,2024-04-22,2024-04-22 17:30,2024-04-22 20:00,DFW,ELP,B767,2.51,Multi-day,2,4,10277,10321,False,DFW
50031,2024-04-18,2024-04-18 06:30,2024-04-18 10:57,ORD,PIT,B737,4.46,Multi-day,2,2,10008,10122,False,ORD
50032,2024-06-04,2024-06-04 07:00,2024-06-04 11:07,ATL,CLT,B757,4.13,Turn,2,3,10212,10153,False,ATL
50033,2024-05-27,2024-05-27 13:15,2024-05-27 18:37,ORD,IND,B757,5.38,Turn,2,3,10090,10122,False,ORD
50034,2024-04-16,2024-04-16 15:00,2024-04-16 20:01,LAX,SFO,B757,5.03,Red-eye,2,3,10372,10368,False,LAX
50035,2024-05-26,2024-05-26 20:15,2024-05-26 22:54,JFK,ALB,A321,2.65,Red-eye,2,3,10490,10464,False,JFK
50036,2024-06-28,2024-06-28 06:15,2024-06-28 07:48,DFW,TUL,B737,1.56,Red-eye,2,2,10342,10317,False,DFW
50037,2024-02-01,2024-02-01 09:45,2024-02-01 10:55,ATL,BNA,A320,1.17,Red-eye,2,2,10195,10193,False,ATL
50038,2024-02-10,2024-02-10 16:00,2024-02-10 17:57,ATL,CHS,B767,1.96,Turn,2,4,10205,10162,False,ATL
50039,2024-06-08,2024-06-08 05:30,2024-06-08 10:40,LAX,SJC,B757,5.18,Turn,2,3,10398,10362,False,LAX
50040,2024-06-20,2024-06-20 10:15,2024-06-20 12:34,ORD,PIT,A321,2.32,Turn,2,3,10084,10044,True,ORD
50041,2024-05-04,2024-05-04 22:15,2024-05-05 00:40,DFW,HOU,B757,2.42,Turn,2,3,10307,10337,False,DFW
50042,2024-05-27,2024-05-27 19:30,2024-05-27 21:40,ATL,MCO,A320,2.17,Overnight,2,2,10234,10186,False,ATL
50043,2024-06-28,2024-06-28 15:15,2024-06-28 16:39,LAX,SJC,A321,1.42,Red-eye,2,3,10352,10415,False,LAX
50044,2024-01-21,2024-01-21 08:45,2024-01-21 09:47,JFK,BOS,B757,1.04,Turn,2,3,10462,10452,False,JFK
50045,2024-03-30,2024-03-30 17:15,2024-03-30 18:48,LAX,SMF,A320,1.56,Multi-day,2,2,10372,10393,True,LAX
50046,2024-03-02,2024-03-02 14:15,2024-03-02 18:02,ATL,CLT,B767,3.79,Turn,2,4,10170,10229,False,ATL
50047,2024-06-02,2024-06-02 13:45,2024-06-02 19:09,ORD,MSP,B737,5.41,Multi-day,2,2,10035,10114,False,ORD
50048,2024-06-20,2024-06-20 21:30,2024-06-21 00:36,ORD,PIT,B737,3.1,Turn,2,2,10095,10114,False,ORD
50049,2024-04-20,2024-04-20 06:00,2024-04-20 08:23,ATL,MIA,B737,2.39,Overnight,2,2,10235,10245,False,ATL
50050,2024-05-02,2024-05-02 09:45,2024-05-02 11:16,LAX,SJC,B737,1.52,Multi-day,2,2,10383,10358,False,LAX
50051,2024-04-16,2024-04-16 20:30,2024-04-17 01:38,ATL,MSY,B737,5.14,Turn,2,2,10221,10132,False,ATL
50052,2024-04-07,2024-04-07 16:45,2024-04-07 18:09,ATL,CHS,A320,1.41,Turn,2,2,10136,10182,False,ATL
50053,2024-05-28,2024-05-28 19:45,2024-05-28 22:29,LAX,PHX,A320,2.75,Turn,2,2,10357,10415,False,LAX
50054,2024-02-21,2024-02-21 13:45,2024-02-21 17:42,ATL,MSY,B737,3.96,Multi-day,2,2,10248,10190,False,ATL
50055,2024-04-27,2024-04-27 10:30,2024-04-27 14:37,LAX,LAS,B767,4.13,Multi-day,2,4,10410,10360,False,LAX
50056,2024-06-20,2024-06-20 14:00,2024-06-20 18:46,DFW,ELP,B737,4.78,Overnight,2,2,10320,10257,False,DFW
50057,2024-01-11,2024-01-11 09:45,2024-01-11 13:53,DFW,OKC,A320,4.13,Overnight,2,2,10307,10318,False,DFW
50058,2024-04-09,2024-04-09 12:15,2024-04-09 16:56,JFK,ROC,A321,4.69,Multi-day,2,3,10467,10494,False,JFK
50059,2024-01-21,2024-01-21 11:45,2024-01-21 13:04,ATL,BNA,A321,1.32,Red-eye,2,3,10232,10196,False,ATL
50060,2024-04-02,2024-04-02 08:00,2024-04-02 09:46,ATL,CLT,B737,1.77,Overnight,2,2,10192,10171,False,ATL
50061,2024-01-21,2024-01-21 14:30,2024-01-21 15:41,DFW,AUS,A321,1.19,Turn,2,3,10291,10295,False,DFW
50062,2024-03-26,2024-03-26 07:00,2024-03-26 09:55,ATL,MSY,B787,2.93,Turn,2,4,10184,10176,False,ATL
50063,2024-01-20,2024-01-20 20:00,2024-01-20 22:22,LAX,SAN,A320,2.37,Red-eye,2,2,10410,10373,False,LAX
50064,2024-02-20,2024-02-20 06:45,2024-02-20 08:13,ORD,DTW,B737,1.48,Overnight,2,2,10016,10038,False,ORD
50065,2024-01-12,2024-01-12 05:15,2024-01-12 09:26,DFW,ABQ,A321,4.19,Multi-day,2,3,10291,10303,False,DFW
50066,2024-06-24,2024-06-24 21:45,2024-06-25 03:13,LAX,LAS,A320,5.48,Turn,2,2,10411,10388,False,LAX
50067,2024-05-21,2024-05-21 11:45,2024-05-21 17:04,LAX,SJC,B737,5.33,Overnight,2,2,10389,10399,False,LAX
50068,2024-03-20,2024-03-20 08:00,2024-03-20 12:33,DFW,LBB,A321,4.57,Turn,2,3,10313,10293,False,DFW
50069,2024-05-20,2024-05-20 14:15,2024-05-20 16:25,JFK,DCA,B737,2.17,Overnight,2,2,10463,10500,False,JFK
50070,2024-03-11,2024-03-11 13:30,2024-03-11 14:45,JFK,PHL,A321,1.25,Multi-day,2,3,10470,10472,False,JFK
50071,2024-03-18,2024-03-18 16:45,2024-03-18 20:59,JFK,DCA,B787,4.24,Multi-day,2,4,10483,10493,False,JFK
50072,2024-01-30,2024-01-30 16:00,2024-01-30 20:56,DFW,LBB,B737,4.94,Overnight,2,2,10262,10266,False,DFW
50073,2024-04-05,2024-04-05 16:30,2024-04-05 21:36,ATL,MSY,A321,5.12,Overnight,2,3,10195,10210,False,ATL
50074,2024-06-23,2024-06-23 09:45,2024-06-23 10:50,JFK,PHL,B767,1.1,Red-eye,2,4,10446,10452,True,JFK
50075,2024-02-08,2024-02-08 18:45,2024-02-08 20:04,DFW,AUS,A321,1.33,Turn,2,3,10282,10305,False,DFW
50076,2024-02-04,2024-02-04 10:00,2024-02-04 11:03,LAX,PHX,A320,1.06,Turn,2,2,10353,10402,False,LAX
50077,2024-06-20,2024-06-20 09:15,2024-06-20 12:23,ATL,RDU,B767,3.14,Turn,2,4,10232,10165,False,ATL
50078,2024-02-02,2024-02-02 08:45,2024-02-02 13:21,ORD,CMH,B737,4.6,Overnight,2,2,10008,10094,False,ORD
50079,2024-02-07,2024-02-07 14:30,2024-02-07 17:17,ATL,CHS,B737,2.8,Turn,2,2,10242,10162,False,ATL
50080,2024-06-19,2024-06-19 05:15,2024-06-19 10:04,ORD,MSP,A321,4.82,Red-eye,2,3,10009,10051,False,ORD
50081,2024-01-16,2024-01-16 08:45,2024-01-16 13:33,ATL,MIA,B737,4.8,Overnight,2,2,10222,10211,False,ATL
50082,2024-03-26,2024-03-26 11:30,2024-03-26 14:36,ORD,MSP,A320,3.12,Overnight,2,2,10029,10086,False,ORD
50083,2024-05-23,2024-05-23 17:00,2024-05-23 18:39,LAX,PHX,B737,1.65,Overnight,2,2,10356,10424,False,LAX
50084,2024-03-13,2024-03-13 15:15,2024-03-13 19:25,ATL,MSY,B757,4.18,Turn,2,3,10230,10156,False,ATL
50085,2024-03-18,2024-03-18 14:00,2024-03-18 15:17,LAX,SAN,B787,1.3,Overnight,2,4,10436,10354,True,LAX
50086,2024-05-27,2024-05-27 17:30,2024-05-27 22:39,ORD,MKE,A321,5.15,Red-eye,2,3,10035,10117,True,ORD
50087,2024-04-16,2024-04-16 09:45,2024-04-16 13:47,LAX,SMF,B737,4.04,Overnight,2,2,10400,10415,False,LAX
50088,2024-02-01,2024-02-01 05:15,2024-02-01 07:54,ATL,BNA,A320,2.66,Overnight,2,2,10128,10194,False,ATL
50089,2024-02-18,2024-02-18 17:00,2024-02-18 18:03,ATL,BNA,B737,1.06,Overnight,2,2,10170,10244,False,ATL
50090,2024-01-10,2024-01-10 14:30,2024-01-10 15:59,ATL,MCO,B737,1.5,Multi-day,2,2,10206,10173,False,ATL
50091,2024-05-28,2024-05-28 11:15,2024-05-28 14:32,LAX,ONT,B737,3.29,Turn,2,2,10425,10399,False,LAX
50092,2024-06-23,2024-06-23 09:15,2024-06-23 14:39,ORD,CMH,B737,5.42,Multi-day,2,2,10124,10106,False,ORD
50093,2024-03-29,2024-03-29 07:45,2024-03-29 12:37,LAX,BUR,B737,4.88,Turn,2,2,10417,10437,False,LAX
50094,2024-06-22,2024-06-22 09:30,2024-06-22 12:01,JFK,PHL,B737,2.53,Overnight,2,2,10467,10499,True,JFK
50095,2024-04-25,2024-04-25 06:15,2024-04-25 07:26,ATL,CHS,B787,1.19,Multi-day,2,4,10237,10211,False,ATL
50096,2024-03-15,2024-03-15 13:15,2024-03-15 15:57,DFW,ABQ,A320,2.71,Red-eye,2,2,10306,10316,False,DFW
50097,2024-03-14,2024-03-14 10:45,2024-03-14 13:14,ATL,RDU,B787,2.5,Turn,2,4,10159,10147,False,ATL
50098,2024-04-25,2024-04-25 07:00,2024-04-25 09:43,DFW,SAT,A320,2.73,Turn,2,2,10272,10273,False,DFW
50099,2024-05-13,2024-05-13 09:30,2024-05-13 14:42,ATL,RDU,A321,5.21,Multi-day,2,3,10249,10189,False,ATL
50100,2024-02-18,2024-02-18 08:30,2024-02-18 11:35,ATL,RDU,A320,3.1,Turn,2,2,10203,10157,False,ATL
50101,2024-05-22,2024-05-22 10:15,2024-05-22 15:25,ORD,PIT,B767,5.18,Overnight,2,4,10087,10022,False,ORD
50102,2024-06-30,2024-06-30 09:45,2024-06-30 13:14,DFW,ELP,B737,3.49,Turn,2,2,10287,10296,False,DFW
50103,2024-04-15,2024-04-15 07:30,2024-04-15 11:59,JFK,PHL,A320,4.49,Overnight,2,2,10442,10476,True,JFK
50104,2024-02-24,2024-02-24 19:30,2024-02-24 21:45,LAX,BUR,A320,2.25,Turn,2,2,10432,10426,False,LAX
50105,2024-02-05,2024-02-05 15:00,2024-02-05 16:25,ORD,STL,B737,1.43,Overnight,2,2,10076,10056,False,ORD
50106,2024-03-12,2024-03-12 15:15,2024-03-12 18:51,LAX,SMF,B737,3.6,Turn,2,2,10363,10399,False,LAX
50107,2024-05-22,2024-05-22 05:00,2024-05-22 08:01,ATL,CHS,B767,3.03,Red-eye,2,4,10233,10144,False,ATL
50108,2024-03-26,2024-03-26 07:30,2024-03-26 09:36,LAX,BUR,B757,2.1,Overnight,2,3,10436,10401,True,LAX
50109,2024-02-24,2024-02-24 05:45,2024-02-24 09:41,ATL,MSY,B757,3.94,Turn,2,3,10223,10199,False,ATL
50110,2024-04-03,2024-04-03 22:45,2024-04-04 02:55,ATL,MCO,B737,4.18,Overnight,2,2,10130,10244,False,ATL
50111,2024-01-09,2024-01-09 07:45,2024-01-09 09:52,LAX,SFO,A321,2.13,Multi-day,2,3,10357,10378,False,LAX
50112,2024-06-11,2024-06-11 15:15,2024-06-11 19:49,ORD,IND,A321,4.57,Turn,2,3,10076,10058,False,ORD
50113,2024-04-18,2024-04-18 07:15,2024-04-18 10:45,ATL,BNA,B757,3.5,Overnight,2,3,10250,10231,False,ATL
50114,2024-06-28,2024-06-28 10:00,2024-06-28 12:18,DFW,OKC,A321,2.32,Turn,2,3,10307,10328,False,DFW
50115,2024-01-04,2024-01-04 07:30,2024-01-04 12:38,ORD,CMH,B737,5.15,Multi-day,2,2,10029,10061,True,ORD
50116,2024-06-17,2024-06-17 07:45,2024-06-17 10:02,ATL,MIA,B787,2.3,Turn,2,4,10235,10155,False,ATL
50117,2024-05-26,2024-05-26 11:15,2024-05-26 14:19,JFK,BDL,B757,3.08,Overnight,2,3,10487,10441,False,JFK
50118,2024-06-16,2024-06-16 06:00,2024-06-16 08:30,ORD,IND,A321,2.51,Overnight,2,3,10029,10004,True,ORD
50119,2024-02-20,2024-02-20 08:30,2024-02-20 10:47,DFW,HOU,B737,2.3,Red-eye,2,2,10307,10328,False,DFW
50120,2024-03-19,2024-03-19 19:00,2024-03-19 22:17,DFW,AUS,A321,3.29,Overnight,2,3,10304,10258,False,DFW
50121,2024-02-19,2024-02-19 22:30,2024-02-19 23:31,ATL,MCO,A320,1.03,Multi-day,2,2,10206,10166,False,ATL
50122,2024-04-04,2024-04-04 13:00,2024-04-04 17:53,ORD,DTW,B787,4.89,Multi-day,2,4,10065,10080,False,ORD
50123,2024-04-26,2024-04-26 21:30,2024-04-27 02:09,DFW,AUS,B767,4.66,Multi-day,2,4,10251,10265,False,DFW
50124,2024-04-09,2024-04-09 15:45,2024-04-09 20:18,DFW,ELP,B737,4.55,Overnight,2,2,10251,10289,False,DFW
50125,2024-06-07,2024-06-07 10:30,2024-06-07 13:01,JFK,BOS,A321,2.53,Turn,2,3,10498,10482,False,JFK
50126,2024-06-19,2024-06-19 15:30,2024-06-19 18:58,ATL,MSY,B737,3.47,Red-eye,2,2,10221,10196,False,ATL
50127,2024-04-01,2024-04-01 11:15,2024-04-01 13:20,ORD,CLE,B737,2.09,Overnight,2,2,10112,10044,False,ORD
50128,2024-01-02,2024-01-02 07:45,2024-01-02 11:22,ORD,CMH,A321,3.62,Turn,2,3,10048,10094,False,ORD
50129,2024-05-04,2024-05-04 07:45,2024-05-04 11:25,DFW,TUL,B737,3.67,Overnight,2,2,10301,10284,False,DFW
50130,2024-05-05,2024-05-05 17:15,2024-05-05 22:40,DFW,LBB,A321,5.43,Turn,2,3,10320,10336,False,DFW
50131,2024-03-01,2024-03-01 09:00,2024-03-01 12:58,ORD,MSP,B767,3.98,Turn,2,4,10001,10069,True,ORD
50132,2024-04-06,2024-04-06 07:45,2024-04-06 09:44,LAX,SJC,A320,2.0,Turn,2,2,10353,10384,False,LAX
50133,2024-03-16,2024-03-16 18:00,2024-03-16 20:14,ATL,BNA,B757,2.25,Overnight,2,3,10248,10153,False,ATL
50134,2024-04-25,2024-04-25 07:30,2024-04-25 12:32,ATL,MIA,B737,5.04,Turn,2,2,10129,10178,False,ATL
50135,2024-04-21,2024-04-21 14:30,2024-04-21 19:13,LAX,SAN,B787,4.72,Multi-day,2,4,10357,10408,False,LAX
50136,2024-02-27,2024-02-27 22:30,2024-02-28 03:37,DFW,TUL,B757,5.12,Overnight,2,3,10275,10276,False,DFW
50137,2024-05-21,2024-05-21 09:00,2024-05-21 11:52,ATL,RDU,A320,2.87,Overnight,2,2,10206,10185,False,ATL
50138,2024-01-02,2024-01-02 05:00,2024-01-02 09:44,DFW,ABQ,B737,4.75,Multi-day,2,2,10259,10289,False,DFW
50139,2024-01-19,2024-01-19 07:45,2024-01-19 11:42,ATL,BNA,B737,3.96,Multi-day,2,2,10134,10160,False,ATL
50140,2024-06-28,2024-06-28 14:00,2024-06-28 19:21,LAX,SAN,A320,5.36,Turn,2,2,10410,10421,False,LAX
50141,2024-01-17,2024-01-17 17:15,2024-01-17 20:51,DFW,ELP,A321,3.61,Turn,2,3,10310,10346,True,DFW
50142,2024-06-16,2024-06-16 12:15,2024-06-16 15:17,ORD,DTW,A320,3.04,Multi-day,2,2,10099,10109,False,ORD
50143,2024-03-16,2024-03-16 15:00,2024-03-16 19:27,ORD,MKE,A320,4.46,Turn,2,2,10087,10113,False,ORD
50144,2024-04-01,2024-04-01 15:00,2024-04-01 19:23,ORD,DTW,B737,4.39,Turn,2,2,10043,10061,False,ORD
50145,2024-05-24,2024-05-24 22:00,2024-05-25 02:08,JFK,ROC,B737,4.15,Turn,2,2,10446,10445,False,JFK
50146,2024-03-06,2024-03-06 07:30,2024-03-06 10:47,ORD,CLE,B737,3.3,Multi-day,2,2,10043,10120,True,ORD
50147,2024-01-19,2024-01-19 09:15,2024-01-19 12:59,ATL,BNA,B737,3.74,Overnight,2,2,10130,10189,True,ATL
50148,2024-04-15,2024-04-15 12:45,2024-04-15 18:09,JFK,ROC,A321,5.41,Overnight,2,3,10467,10493,False,JFK
50149,2024-03-14,2024-03-14 07:30,2024-03-14 10:41,LAX,SJC,B737,3.2,Overnight,2,2,10406,10354,False,LAX
50150,2024-01-06,2024-01-06 05:15,2024-01-06 10:08,JFK,PHL,A321,4.9,Turn,2,3,10498,10451,False,JFK
50151,2024-01-08,2024-01-08 05:30,2024-01-08 06:37,ORD,IND,A321,1.12,Red-eye,2,3,10099,10086,False,ORD
50152,2024-03-01,2024-03-01 19:30,2024-03-01 23:04,LAX,BUR,A320,3.57,Overnight,2,2,10438,10388,False,LAX
50153,2024-05-27,2024-05-27 19:45,2024-05-28 00:41,LAX,SAN,B757,4.94,Turn,2,3,10372,10408,False,LAX
50154,2024-06-07,2024-06-07 17:30,2024-06-07 21:55,ORD,CMH,B737,4.43,Overnight,2,2,10124,10012,False,ORD
50155,2024-01-07,2024-01-07 12:45,2024-01-07 16:31,ATL,BNA,B737,3.77,Turn,2,2,10136,10127,False,ATL
50156,2024-05-17,2024-05-17 07:15,2024-05-17 10:14,ATL,BNA,B757,3.0,Multi-day,2,3,10130,10189,True,ATL
50157,2024-04-05,2024-04-05 09:45,2024-04-05 12:13,JFK,DCA,B737,2.48,Overnight,2,2,10487,10493,False,JFK
50158,2024-04-03,2024-04-03 12:45,2024-04-03 15:22,ORD,STL,B757,2.63,Overnight,2,3,10087,10044,False,ORD
50159,2024-05-21,2024-05-21 20:30,2024-05-22 00:22,LAX,BUR,B737,3.88,Turn,2,2,10428,10435,False,LAX
50160,2024-01-30,2024-01-30 16:30,2024-01-30 21:00,ATL,CHS,B757,4.5,Red-eye,2,3,10227,10155,False,ATL
50161,2024-02-16,2024-02-16 05:00,2024-02-16 08:31,LAX,SAN,B787,3.52,Overnight,2,4,10412,10405,True,LAX
50162,2024-02-06,2024-02-06 07:30,2024-02-06 10:11,DFW,ABQ,A320,2.69,Turn,2,2,10297,10266,False,DFW
50163,2024-04-10,2024-04-10 05:00,2024-04-10 10:06,LAX,BUR,B767,5.12,Multi-day,2,4,10432,10437,False,LAX
50164,2024-06-19,2024-06-19 10:30,2024-06-19 15:25,ATL,MCO,B737,4.92,Multi-day,2,2,10195,10158,False,ATL
50165,2024-06-29,2024-06-29 11:45,2024-06-29 13:03,ORD,IND,A321,1.31,Multi-day,2,3,10033,10072,False,ORD
50166,2024-03-11,2024-03-11 10:15,2024-03-11 14:05,ATL,CLT,A321,3.84,Turn,2,3,10187,10157,False,ATL
50167,2024-04-01,2024-04-01 11:00,2024-04-01 15:59,ORD,CLE,B737,5.0,Multi-day,2,2,10008,10120,False,ORD
50168,2024-06-22,2024-06-22 06:45,2024-06-22 10:20,ATL,MIA,B737,3.6,Overnight,2,2,10143,10182,False,ATL
50169,2024-06-26,2024-06-26 19:45,2024-06-26 23:17,DFW,TUL,A320,3.54,Multi-day,2,2,10304,10263,False,DFW
50170,2024-04-26,2024-04-26 10:15,2024-04-26 11:34,LAX,SJC,A320,1.32,Turn,2,2,10398,10369,False,LAX
50171,2024-05-18,2024-05-18 08:00,2024-05-18 13:24,ATL,MIA,B757,5.4,Turn,2,3,10233,10211,False,ATL
50172,2024-06-04,2024-06-04 19:00,2024-06-04 21:15,ATL,TPA,B737,2.27,Overnight,2,2,10230,10185,True,ATL
50173,2024-04-30,2024-04-30 12:30,2024-04-30 17:09,ORD,DTW,B787,4.66,Overnight,2,4,10048,10031,False,ORD
50174,2024-03-10,2024-03-10 16:00,2024-03-10 20:00,JFK,BWI,B737,4.01,Overnight,2,2,10463,10451,False,JFK
50175,2024-01-23,2024-01-23 08:00,2024-01-23 13:12,ATL,TPA,B787,5.2,Multi-day,2,4,10214,10150,False,ATL
50176,2024-01-03,2024-01-03 22:45,2024-01-04 01:17,ATL,MCO,B767,2.54,Overnight,2,4,10250,10176,False,ATL
50177,2024-04-27,2024-04-27 12:45,2024-04-27 14:33,ORD,CMH,B737,1.81,Multi-day,2,2,10035,10061,True,ORD
50178,2024-02-08,2024-02-08 22:45,2024-02-09 03:37,JFK,SYR,B767,4.88,Multi-day,2,4,10490,10476,False,JFK
50179,2024-01-03,2024-01-03 09:00,2024-01-03 12:15,JFK,BWI,B757,3.25,Turn,2,3,10467,10493,True,JFK
50180,2024-01-14,2024-01-14 09:30,2024-01-14 10:42,DFW,SAT,B737,1.22,Multi-day,2,2,10319,10347,False,DFW
50181,2024-05-12,2024-05-12 21:00,2024-05-12 22:44,ATL,BNA,A320,1.73,Red-eye,2,2,10234,10211,False,ATL
50182,2024-01-23,2024-01-23 06:45,2024-01-23 10:40,LAX,SAN,A321,3.93,Turn,2,3,10407,10413,False,LAX
50183,2024-05-17,2024-05-17 21:45,2024-05-18 02:05,ATL,MSY,A321,4.34,Turn,2,3,10129,10127,False,ATL
50184,2024-06-18,2024-06-18 06:15,2024-06-18 10:05,JFK,PHL,B787,3.84,Turn,2,4,10461,10488,False,JFK
50185,2024-05-09,2024-05-09 08:45,2024-05-09 14:12,JFK,DCA,A320,5.46,Turn,2,2,10475,10471,False,JFK
50186,2024-05-18,2024-05-18 14:45,2024-05-18 16:08,LAX,SMF,A321,1.39,Turn,2,3,10357,10378,False,LAX
50187,2024-05-26,2024-05-26 22:00,2024-05-27 02:37,ATL,MCO,B737,4.63,Turn,2,2,10232,10156,False,ATL
50188,2024-06-03,2024-06-03 15:45,2024-06-03 21:09,LAX,SJC,B767,5.4,Turn,2,4,10416,10418,False,LAX
50189,2024-04-26,2024-04-26 07:30,2024-04-26 12:42,ATL,RDU,B767,5.21,Multi-day,2,4,10143,10163,True,ATL
50190,2024-01-13,2024-01-13 16:30,2024-01-13 20:53,LAX,SMF,A320,4.39,Overnight,2,2,10361,10358,False,LAX
50191,2024-04-09,2024-04-09 07:30,2024-04-09 09:31,ORD,CMH,A320,2.02,Multi-day,2,2,10016,10113,False,ORD
50192,2024-02-14,2024-02-14 12:00,2024-02-14 13:10,LAX,PHX,B757,1.18,Overnight,2,3,10396,10422,False,LAX
50193,2024-02-09,2024-02-09 11:30,2024-02-09 14:01,JFK,BDL,A320,2.52,Turn,2,2,10487,10458,False,JFK
50194,2024-01-01,2024-01-01 06:15,2024-01-01 10:22,JFK,BWI,A320,4.13,Turn,2,2,10487,10471,False,JFK
50195,2024-05-27,2024-05-27 09:00,2024-05-27 10:27,LAX,SAN,A320,1.45,Overnight,2,2,10407,10382,False,LAX
50196,2024-05-25,2024-05-25 11:00,2024-05-25 15:28,ATL,MSY,B787,4.48,Overnight,2,4,10230,10165,False,ATL
50197,2024-02-12,2024-02-12 13:30,2024-02-12 17:19,ORD,IND,B737,3.82,Turn,2,2,10001,10055,False,ORD
50198,2024-03-17,2024-03-17 10:30,2024-03-17 12:17,JFK,BDL,A321,1.8,Multi-day,2,3,10448,10494,False,JFK
50199,2024-01-22,2024-01-22 05:30,2024-01-22 08:01,ATL,MCO,B737,2.53,Multi-day,2,2,10201,10137,False,ATL
50200,2024-06-03,2024-06-03 18:00,2024-06-03 19:24,LAX,BUR,B737,1.4,Multi-day,2,2,10410,10376,False,LAX
50201,2024-05-19,2024-05-19 10:30,2024-05-19 11:40,DFW,LBB,B737,1.18,Multi-day,2,2,10319,10325,False,DFW
50202,2024-03-02,2024-03-02 17:00,2024-03-02 20:12,ATL,BNA,B767,3.21,Overnight,2,4,10217,10243,False,ATL
50203,2024-04-25,2024-04-25 12:45,2024-04-25 15:00,ATL,MIA,B737,2.26,Red-eye,2,2,10221,10210,False,ATL
